Muestra,IRRADIANCE [W/m^2],TEMPERATURE [°C],ZENITH [deg],AZIMUTH [deg],ALBEDO,Vmpp,Impp,Pmpp,Fill Factor,Eficiencia
2020_26_04_07_52,0,12.7,134,-65,0.14,16.06,0.39,6.23,0.75973,2
2020_26_04_07_57,0,12.7,133,-65,0.14,16.27,0.34,5.55,0.77028,3
2020_26_04_08_03,0,12.6,131,-66,0.14,16.06,0.37,5.96,0.76669,3
2020_26_04_08_09,0,12.6,129,-67,0.14,16.47,0.32,5.25,0.77278,3
2020_26_04_08_15,0,12.6,128,-68,0.14,16.27,0.34,5.50,0.75702,2
2020_26_04_08_20,0,12.6,127,-68,0.14,16.47,0.41,6.67,0.78395,3
2020_26_04_08_26,0,12.6,126,-68,0.14,16.66,0.42,7.05,0.81697,3
2020_26_04_08_32,0,12.6,125,-69,0.14,17.46,0.47,8.17,0.80554,3
2020_26_04_08_38,0,12.6,122,-70,0.14,18.27,0.43,7.78,0.71041,1
2020_26_04_08_43,0,12.6,121,-70,0.14,19.27,0.46,8.88,0.62597,0
2020_26_04_09_06,0,12.5,117,-72,0.14,15.06,3.18,47.82,0.70475,1
2020_26_04_09_12,0,12.5,115,-72,0.14,14.67,3.36,49.34,0.68518,0
2020_26_04_09_18,0,12.5,113,-73,0.14,14.46,3.37,48.74,0.67905,0
2020_26_04_09_24,0,12.5,112,-73,0.14,14.67,3.60,52.75,0.69202,0
2020_26_04_09_47,0,12.4,107,-74,0.14,14.46,3.82,55.27,0.65915,0
2020_26_04_09_53,0,12.4,105,-74,0.14,14.07,3.98,55.98,0.65110,0
2020_26_04_10_04,0,12.3,102,-75,0.14,13.67,4.46,61.02,0.64585,0
2020_26_04_10_16,0,12.3,100,-75,0.14,14.26,4.01,57.24,0.62910,0
2020_26_04_10_21,0,12.3,99,-75,0.14,13.67,4.30,58.81,0.63483,0
2020_26_04_10_27,0,12.3,97,-76,0.14,13.26,4.39,58.22,0.62778,0
2020_26_04_10_33,0,12.3,95,-76,0.14,13.07,4.63,60.50,0.62144,0
2020_26_04_10_39,0,12.3,94,-76,0.14,12.46,4.75,59.20,0.59870,0
2020_26_04_10_44,0,12.3,93,-76,0.14,13.07,4.82,62.96,0.61406,0
2020_26_04_10_50,0,12.3,91,-76,0.14,12.87,4.70,60.51,0.61917,0
2020_26_04_10_56,0,12.3,90,-76,0.14,12.87,4.82,61.98,0.60907,0
2020_26_04_11_02,5,12.4,89,-77,0.14,12.87,4.78,61.54,0.60108,0
2020_26_04_11_13,31,12.8,85,-77,0.14,13.26,4.56,60.43,0.61103,0
2020_26_04_11_19,45,12.9,84,-77,0.14,13.46,3.67,49.45,0.60295,0
2020_26_04_11_25,59,13.1,83,-77,0.14,13.26,4.42,58.58,0.65394,0
2020_26_04_11_36,99,13.5,81,-77,0.14,13.26,4.57,60.56,0.64339,0
2020_26_04_11_48,153,14,77,-78,0.14,13.26,5.13,68.06,0.62930,0
2020_26_04_12_05,202,14.5,73,-78,0.14,13.07,4.75,62.06,0.64715,0
2020_26_04_12_11,218,14.7,72,-78,0.14,14.67,1.56,22.93,0.63832,0
2020_26_04_12_22,250,15.1,70,-78,0.14,13.46,4.81,64.69,0.61477,0
2020_26_04_12_28,277,15.5,67,-78,0.14,12.87,4.89,62.90,0.61584,0
2020_26_04_12_34,292,15.7,66,-78,0.14,12.87,4.94,63.55,0.61092,0
2020_26_04_12_45,337,16,64,-78,0.14,13.86,4.58,63.44,0.66716,0
2020_26_04_12_51,371,16.2,62,-78,0.14,14.46,1.19,17.19,0.71164,1
2020_26_04_12_57,408,16.4,61,-78,0.14,15.06,1.35,20.36,0.74686,2
2020_26_04_13_03,451,16.8,59,-78,0.14,13.86,4.10,56.80,0.62994,0
2020_26_04_13_08,480,17,57,-78,0.14,13.67,4.29,58.63,0.63610,0
2020_26_04_13_20,514,17.5,55,-78,0.14,14.67,1.33,19.51,0.73872,1
2020_26_04_13_26,511,17.7,54,-78,0.14,13.86,4.10,56.81,0.68693,0
2020_26_04_13_31,548,17.9,53,-78,0.14,13.66,3.46,47.25,0.63040,0
2020_26_04_13_37,598,18.1,51,-78,0.14,14.46,0.76,10.93,0.72572,1
2020_26_04_13_43,650,18.6,49,-78,0.14,15.06,0.64,9.67,0.75636,2
2020_26_04_13_49,668,18.8,48,-77,0.14,15.45,0.78,12.05,0.77458,3
2020_26_04_13_55,684,19,47,-77,0.14,15.65,0.71,11.08,0.76199,2
2020_26_04_14_00,697,19.2,45,-77,0.14,15.66,0.96,15.05,0.77380,3
2020_26_04_14_06,710,19.4,44,-77,0.14,15.66,1.33,20.83,0.77134,3
2020_26_04_14_23,785,20.2,39,-76,0.14,15.06,1.03,15.56,0.75151,2
2020_26_04_14_29,756,20.4,38,-76,0.14,15.46,2.96,45.79,0.70133,1
2020_26_04_14_35,716,20.6,37,-76,0.14,15.06,1.48,22.26,0.73075,1
2020_26_04_14_41,715,20.8,36,-76,0.14,15.26,1.36,20.69,0.75134,2
2020_26_04_14_46,727,21,34,-75,0.14,15.26,1.37,20.97,0.73056,1
2020_26_04_14_52,741,21.2,33,-75,0.14,15.45,1.41,21.82,0.43380,0
2020_26_04_14_58,757,21.4,32,-75,0.14,15.06,0.80,12.00,0.73414,1
2020_26_04_15_04,866,21.7,30,-74,0.14,15.26,0.55,8.41,0.74753,2
2020_26_04_15_09,856,21.9,28,-73,0.14,15.26,0.56,8.52,0.77213,3
2020_26_04_15_15,826,22,27,-73,0.14,15.45,0.49,7.51,0.75557,2
2020_26_04_15_21,838,22.2,26,-72,0.14,15.45,0.60,9.22,0.78125,3
2020_26_04_15_27,864,22.3,25,-71,0.14,15.86,1.58,25.00,0.81828,3
2020_26_04_15_32,882,22.5,24,-71,0.14,15.26,1.34,20.37,0.60476,0
2020_26_04_15_38,911,22.8,21,-69,0.14,15.66,0.82,12.90,0.76902,3
2020_26_04_15_44,924,22.9,20,-68,0.14,15.66,0.94,14.78,0.76472,2
2020_26_04_15_56,927,23.2,18,-65,0.14,16.66,1.32,21.96,0.49303,0
2020_26_04_16_01,923,23.3,17,-63,0.14,15.86,0.91,14.50,0.65411,0
2020_26_04_16_07,918,23.5,16,-62,0.14,15.45,0.53,8.23,0.76443,2
2020_26_04_16_13,898,23.6,14,-57,0.14,15.45,0.47,7.26,0.75991,2
2020_26_04_16_19,898,23.7,13,-54,0.14,15.45,0.43,6.71,0.75492,2
2020_26_04_16_24,900,23.7,12,-51,0.14,15.26,0.45,6.90,0.77690,3
2020_26_04_16_30,894,23.8,11,-46,0.14,15.45,0.43,6.58,0.76307,2
2020_26_04_16_36,881,23.9,10,-42,0.14,15.45,0.37,5.78,0.74499,1
2020_26_04_16_42,792,23.9,9,-36,0.14,15.26,0.23,3.53,0.74535,2
2020_26_04_16_47,679,24,8,-29,0.14,14.87,0.20,2.93,0.76426,2
2020_26_04_16_53,543,24.1,7,-13,0.14,14.87,0.21,3.09,0.73771,1
2020_26_04_16_59,543,24.1,7,-13,0.14,15.06,0.21,3.18,0.77817,3
2020_26_04_17_05,938,24.3,7,6,0.14,15.26,0.23,3.53,0.75162,2
2020_26_04_17_10,1001,24.4,8,15,0.14,15.06,0.17,2.62,0.74070,1
2020_26_04_17_16,1007,24.6,8,23,0.14,14.87,0.15,2.17,0.74284,1
2020_26_04_17_22,1009,24.7,9,31,0.14,14.66,0.13,1.96,0.74657,2
2020_26_04_17_28,992,24.9,10,43,0.14,14.46,0.12,1.79,0.73778,1
2020_26_04_17_33,969,25,11,48,0.14,14.87,0.10,1.53,0.73208,1
2020_26_04_17_39,913,25.2,12,51,0.14,14.87,0.09,1.29,0.72819,1
2020_26_04_17_45,851,25.3,13,55,0.14,14.66,0.08,1.20,0.73737,1
2020_26_04_17_51,865,25.4,14,57,0.14,14.27,0.07,0.96,0.71649,1
2020_26_04_17_57,899,25.5,15,60,0.14,13.86,0.05,0.62,0.69509,0
2020_26_04_18_02,855,25.6,16,62,0.14,12.67,0.03,0.33,0.63389,0
2020_27_03_11_35,65,13.1,84,-88,0.15,13.26,4.55,60.33,0.63494,0
2020_27_03_11_41,82,13.3,82,-88,0.15,13.26,4.49,59.58,0.62997,0
2020_27_03_11_46,99,13.5,81,-88,0.15,13.26,4.71,62.47,0.62860,0
2020_27_03_11_52,118,13.6,80,-89,0.15,13.46,4.82,64.92,0.63084,0
2020_27_03_12_04,187,14.2,76,-89,0.15,13.26,4.87,64.59,0.62450,0
2020_27_03_12_09,211,14.4,75,-89,0.15,13.26,4.58,60.68,0.62699,0
2020_27_03_12_21,256,14.8,72,-89,0.15,13.46,4.54,61.08,0.63382,0
2020_27_03_12_27,279,15,71,-89,0.15,13.46,4.63,62.29,0.63148,0
2020_27_03_12_32,301,15.2,70,-90,0.15,13.26,4.81,63.83,0.62286,0
2020_27_03_12_38,348,15.6,67,-90,0.15,13.26,4.78,63.44,0.60750,0
2020_27_03_12_44,372,15.8,66,-90,0.15,13.26,4.48,59.42,0.60708,0
2020_27_03_12_50,388,16,65,-90,0.15,14.66,1.55,22.69,0.72570,1
2020_27_03_13_07,463,16.7,61,-91,0.15,13.26,4.42,58.54,0.57687,0
2020_27_03_13_13,504,17.1,59,-91,0.15,14.66,1.16,17.01,0.73603,1
2020_27_03_13_24,555,17.6,56,-91,0.15,13.06,4.76,62.14,0.63781,0
2020_27_03_13_30,578,17.8,55,-91,0.15,13.26,4.35,57.67,0.62349,0
2020_27_03_13_36,600,18.1,54,-91,0.15,12.86,4.68,60.22,0.62263,0
2020_27_03_13_42,621,18.3,52,-92,0.15,14.27,1.40,20.04,0.34047,0
2020_27_03_13_47,643,18.5,51,-92,0.15,14.87,1.12,16.68,0.74943,2
2020_27_03_13_53,684,19,49,-92,0.15,15.06,0.86,12.94,0.75966,2
2020_27_03_13_59,684,19,49,-92,0.15,15.06,0.81,12.15,0.75884,2
2020_27_03_14_10,743,19.8,45,-93,0.15,15.06,0.99,14.91,0.74416,1
2020_27_03_14_16,762,20.2,44,-93,0.15,15.45,0.97,14.99,0.72911,1
2020_27_03_14_28,816,21.1,40,-94,0.15,15.26,0.66,10.07,0.75335,2
2020_27_03_14_33,833,21.4,39,-94,0.15,15.06,0.52,7.80,0.75719,2
2020_27_03_14_39,845,21.7,38,-94,0.15,15.65,0.55,8.64,0.76830,3
2020_27_03_14_45,857,22.1,36,-94,0.15,15.86,0.86,13.69,0.78469,3
2020_27_03_14_51,875,22.4,35,-95,0.15,15.86,0.92,14.53,0.74717,2
2020_27_03_14_57,894,22.7,34,-95,0.15,14.66,1.13,16.62,0.61292,0
2020_27_03_15_02,905,23,33,-95,0.15,14.66,2.78,40.80,0.65227,0
2020_27_03_15_08,931,23.4,30,-96,0.15,14.87,2.63,39.15,0.81595,3
2020_27_03_15_14,949,23.6,29,-96,0.15,14.66,3.31,48.57,0.68719,0
2020_27_03_15_20,952,23.7,28,-96,0.15,14.46,3.05,44.09,0.68298,0
2020_27_03_15_25,952,23.9,26,-97,0.15,14.66,2.90,42.47,0.68567,0
2020_27_03_15_31,971,24,25,-97,0.15,14.86,2.66,39.45,0.70165,1
2020_27_03_15_37,995,24.2,24,-98,0.15,14.86,2.31,34.30,0.70722,1
2020_27_03_15_43,1018,24.5,22,-99,0.15,15.06,0.48,7.29,0.78726,3
2020_27_03_15_48,1016,24.7,20,-100,0.15,15.45,2.09,32.24,0.70478,1
2020_27_03_15_54,1010,24.8,19,-100,0.15,16.46,1.59,26.15,0.58117,0
2020_27_03_16_00,1022,24.9,18,-101,0.15,15.65,1.11,17.29,0.55922,0
2020_27_03_16_06,1040,25.1,17,-102,0.15,15.25,0.93,14.15,0.73677,1
2020_27_03_16_11,1054,25.2,15,-103,0.15,15.25,0.74,11.32,0.73855,1
2020_27_03_16_17,1065,25.3,14,-104,0.15,15.66,0.74,11.62,0.74454,1
2020_27_03_16_23,1055,25.4,12,-108,0.15,15.85,0.80,12.70,0.74990,2
2020_27_03_16_29,1056,25.5,11,-110,0.15,16.05,0.69,11.06,0.76141,2
2020_27_03_16_34,1060,25.6,9,-113,0.15,15.86,0.55,8.75,0.73024,1
2020_27_03_16_40,1062,25.7,8,-116,0.15,15.45,0.42,6.43,0.72974,1
2020_27_03_16_46,1063,25.8,7,-121,0.15,15.45,0.37,5.69,0.75274,2
2020_27_03_16_52,1050,25.9,6,-127,0.15,15.66,0.39,6.15,0.78296,3
2020_27_03_16_57,1033,26,5,-135,0.15,15.86,0.48,7.55,0.75867,2
2020_27_03_17_03,1054,26.1,4,-162,0.15,15.86,0.66,10.39,0.74526,2
2020_27_03_17_09,1011,26.1,4,-180,0.15,15.86,0.48,7.63,0.75445,2
2020_27_03_17_15,955,26.1,4,162,0.15,15.86,0.51,8.01,0.76447,2
2020_27_03_17_21,996,26.2,5,148,0.15,15.45,0.36,5.58,0.71871,1
2020_27_03_17_26,1067,26.2,5,135,0.15,15.65,0.29,4.46,0.75701,2
2020_27_03_17_32,1087,26.2,6,127,0.15,15.45,0.31,4.74,0.72075,1
2020_27_03_17_38,1030,26.3,8,116,0.15,15.25,0.27,4.09,0.76261,2
2020_27_03_17_44,956,26.3,9,113,0.15,15.06,0.15,2.26,0.70741,1
2020_27_03_17_49,909,26.3,11,110,0.15,14.66,0.14,2.05,0.73974,1
2020_27_03_17_55,873,26.3,12,108,0.15,13.46,0.06,0.77,0.67638,0
2020_27_03_18_01,865,26.3,13,106,0.15,12.66,0.03,0.42,0.64037,0
2020_27_04_05_49,0,14.2,157,-31,0.14,11.87,0.01,0.07,0.67024,0
2020_27_04_05_55,0,14.2,156,-33,0.14,13.46,0.02,0.26,0.72879,1
2020_27_04_06_01,0,14.2,155,-36,0.14,14.07,0.04,0.52,0.72806,1
2020_27_04_06_06,0,14.1,155,-38,0.14,14.46,0.06,0.80,0.74175,1
2020_27_04_06_12,0,14.1,154,-40,0.14,14.67,0.07,1.03,0.75605,2
2020_27_04_06_18,0,14,152,-44,0.14,15.46,0.08,1.22,0.76049,2
2020_27_04_06_24,0,14,151,-46,0.14,15.27,0.09,1.33,0.75496,2
2020_27_04_06_29,0,14,150,-48,0.14,15.66,0.09,1.38,0.75100,2
2020_27_04_06_35,0,14,149,-49,0.14,15.66,0.10,1.57,0.76384,2
2020_27_04_06_41,0,13.9,149,-51,0.14,15.46,0.13,2.06,0.77858,3
2020_27_04_06_47,0,13.9,148,-52,0.14,15.45,0.14,2.19,0.76435,2
2020_27_04_06_53,0,13.9,146,-55,0.14,15.45,0.15,2.30,0.76572,3
2020_27_04_06_58,0,13.9,146,-55,0.14,15.66,0.17,2.72,0.77348,3
2020_27_04_07_04,0,13.8,144,-57,0.14,16.06,0.18,2.89,0.76923,3
2020_27_04_07_10,0,13.8,142,-58,0.14,15.87,0.17,2.67,0.76333,2
2020_27_04_07_16,0,13.8,141,-59,0.14,15.87,0.18,2.90,0.77361,3
2020_27_04_07_21,0,13.8,140,-60,0.14,15.86,0.22,3.47,0.77055,3
2020_27_04_07_27,0,13.8,139,-61,0.14,15.66,0.23,3.59,0.76909,3
2020_27_04_07_33,0,13.8,137,-62,0.14,16.06,0.20,3.20,0.77556,3
2020_27_04_07_39,0,13.8,136,-63,0.14,15.87,0.22,3.52,0.76857,3
2020_27_04_07_44,0,13.8,135,-64,0.14,15.87,0.24,3.87,0.76925,3
2020_27_04_07_50,0,13.8,134,-64,0.14,16.06,0.28,4.50,0.77391,3
2020_27_04_07_56,0,13.8,133,-65,0.14,16.27,0.38,6.13,0.79552,3
2020_27_04_08_02,0,13.8,131,-65,0.14,16.47,0.39,6.37,0.78091,3
2020_27_04_08_07,0,13.8,130,-66,0.14,16.27,0.47,7.60,0.76725,3
2020_27_04_08_13,0,13.7,128,-67,0.14,16.66,0.77,12.83,0.79581,3
2020_27_04_08_19,0,13.7,127,-68,0.14,16.27,0.64,10.35,0.73726,1
2020_27_04_08_25,0,13.6,126,-68,0.14,17.06,0.62,10.54,0.88663,3
2020_27_04_08_30,0,13.6,125,-69,0.14,17.26,0.68,11.79,0.79932,3
2020_27_04_08_36,0,13.6,123,-69,0.14,18.07,0.71,12.83,0.65587,0
2020_27_04_08_54,0,13.4,119,-71,0.14,16.47,0.82,13.42,0.77543,3
2020_27_04_09_05,0,13.3,116,-71,0.14,15.66,3.31,51.77,0.69068,0
2020_27_04_09_11,0,13.3,115,-72,0.14,14.67,3.49,51.26,0.68653,0
2020_27_04_09_17,0,13.3,114,-72,0.14,14.87,0.68,10.07,0.69495,0
2020_27_04_09_22,0,13.3,113,-72,0.14,15.06,3.73,56.14,0.69017,0
2020_27_04_09_34,0,13.2,109,-73,0.14,14.67,3.92,57.52,0.69558,0
2020_27_04_09_51,0,13.2,106,-74,0.14,14.27,4.02,57.39,0.66261,0
2020_27_04_10_03,0,13.1,102,-74,0.14,13.67,4.16,56.84,0.64536,0
2020_27_04_10_08,0,13.1,101,-75,0.14,13.47,4.13,55.68,0.64005,0
2020_27_04_10_14,0,13.1,100,-75,0.14,13.66,4.16,56.84,0.64518,0
2020_27_04_10_20,0,13.1,99,-75,0.14,14.87,1.14,16.94,0.65404,0
2020_27_04_10_26,0,13,97,-75,0.14,15.06,1.00,15.08,0.76174,2
2020_27_04_10_37,0,13,95,-76,0.14,14.07,4.57,64.34,0.64577,0
2020_27_04_10_55,0,12.9,90,-76,0.14,13.67,5.10,69.73,0.60044,0
2020_27_04_11_00,5,13,89,-76,0.14,14.46,1.19,17.19,0.71227,1
2020_27_04_11_06,12,13.1,88,-76,0.14,13.86,5.13,71.09,0.62214,0
2020_27_04_11_12,22,13.3,87,-77,0.14,12.87,5.07,65.28,0.59718,0
2020_27_04_11_18,46,13.7,84,-77,0.14,12.86,5.33,68.51,0.61083,0
2020_27_04_11_23,58,13.9,83,-77,0.14,13.46,4.64,62.39,0.54138,0
2020_27_04_11_35,65,14.3,80,-77,0.14,12.87,4.94,63.60,0.59956,0
2020_27_04_11_41,79,14.6,79,-77,0.14,12.67,4.91,62.26,0.59577,0
2020_27_04_11_46,97,14.8,78,-77,0.14,13.06,4.80,62.67,0.60683,0
2020_27_04_11_58,160,15.2,76,-77,0.14,14.06,1.88,26.49,0.69965,0
2020_27_04_12_04,210,15.6,73,-77,0.14,15.26,0.99,15.12,0.70151,1
2020_27_04_12_10,228,15.9,72,-78,0.14,15.26,1.08,16.47,0.79424,3
2020_27_04_12_15,244,16.1,71,-78,0.14,15.26,1.43,21.82,0.75462,2
2020_27_04_12_21,269,16.3,70,-78,0.14,17.26,1.99,34.38,0.82157,3
2020_27_04_12_27,298,16.5,68,-78,0.14,14.87,1.92,28.51,0.67043,0
2020_27_04_12_44,392,17.3,64,-78,0.14,14.46,4.38,63.29,0.63021,0
2020_27_04_12_50,411,17.5,62,-78,0.14,13.26,4.60,61.02,0.61655,0
2020_27_04_12_56,428,17.7,61,-78,0.14,12.86,4.89,62.89,0.60352,0
2020_27_04_13_01,438,18,60,-78,0.14,14.27,1.04,14.83,0.69977,0
2020_27_04_13_07,446,18.2,59,-78,0.14,13.46,4.55,61.26,0.62869,0
2020_27_04_13_13,487,18.7,56,-78,0.14,13.26,4.33,57.47,0.62639,0
2020_27_04_13_19,467,18.9,55,-78,0.14,13.26,4.23,56.08,0.62307,0
2020_27_04_13_24,434,19.1,54,-78,0.14,12.87,4.42,56.86,0.62808,0
2020_27_04_13_30,416,19.4,53,-77,0.14,12.86,4.53,58.27,0.61640,0
2020_27_04_13_36,402,19.6,51,-77,0.14,12.86,4.55,58.50,0.62120,0
2020_27_04_13_42,378,19.8,50,-77,0.14,13.26,3.87,51.25,0.67438,0
2020_27_04_13_48,348,20.3,48,-77,0.14,13.46,3.84,51.74,0.65473,0
2020_27_04_13_53,359,20.6,47,-77,0.14,13.06,2.93,38.23,0.61671,0
2020_27_04_13_59,359,20.6,47,-77,0.14,14.66,1.20,17.61,0.72491,1
2020_27_04_14_05,610,21,44,-77,0.14,15.06,1.21,18.15,0.73676,1
2020_27_04_14_11,629,21.2,43,-76,0.14,15.26,1.21,18.53,0.74348,1
2020_27_04_14_16,609,21.4,42,-76,0.14,15.45,1.24,19.22,0.74854,2
2020_27_04_14_22,619,21.6,40,-76,0.14,15.06,1.30,19.52,0.74834,2
2020_27_04_14_28,643,21.9,38,-76,0.14,15.66,1.26,19.79,0.74822,2
2020_27_04_14_34,643,22.1,37,-75,0.14,15.66,1.22,19.17,0.74664,2
2020_27_04_14_39,663,22.3,36,-75,0.14,15.65,1.25,19.52,0.75708,2
2020_27_04_14_45,690,22.5,34,-75,0.14,15.65,1.17,18.37,0.75036,2
2020_27_04_14_51,729,22.7,33,-74,0.14,15.66,1.17,18.26,0.75045,2
2020_27_04_14_57,771,22.9,32,-74,0.14,15.65,1.16,18.15,0.75431,2
2020_27_04_15_02,804,23,31,-74,0.14,15.66,1.12,17.57,0.75138,2
2020_27_04_15_08,844,23.3,29,-72,0.14,15.86,1.08,17.16,0.76452,2
2020_27_04_15_14,848,23.4,27,-72,0.14,15.86,1.03,16.27,0.75336,2
2020_27_04_15_20,792,23.4,26,-71,0.14,15.86,0.94,14.91,0.75893,2
2020_27_04_15_25,721,23.5,25,-71,0.14,15.86,0.90,14.31,0.75528,2
2020_27_04_15_31,728,23.6,24,-70,0.14,15.66,0.84,13.22,0.76100,2
2020_27_04_15_37,762,23.7,23,-69,0.14,15.86,0.77,12.13,0.75865,2
2020_27_04_15_43,808,23.9,20,-67,0.14,15.65,0.70,11.02,0.76140,2
2020_27_04_15_49,639,24,19,-65,0.14,15.65,0.66,10.33,0.75647,2
2020_27_04_15_54,424,24.1,18,-64,0.14,15.86,0.60,9.53,0.74315,1
2020_27_04_16_00,492,24.2,17,-62,0.14,15.86,0.56,8.91,0.74111,1
2020_27_04_16_06,645,24.2,16,-60,0.14,15.65,0.52,8.18,0.75208,2
2020_27_04_16_12,608,24.3,15,-58,0.14,15.86,0.48,7.64,0.75948,2
2020_27_04_16_17,514,24.3,14,-56,0.14,15.65,0.45,7.07,0.75804,2
2020_27_04_16_23,548,24.4,12,-49,0.14,15.65,0.41,6.48,0.75497,2
2020_27_04_16_29,499,24.4,11,-45,0.14,15.45,0.39,5.95,0.75593,2
2020_27_04_16_35,440,24.5,10,-40,0.14,15.45,0.35,5.41,0.75578,2
2020_27_04_16_40,651,24.5,9,-35,0.14,15.66,0.32,5.06,0.75768,2
2020_27_04_16_46,934,24.6,9,-28,0.14,15.65,0.29,4.59,0.75501,2
2020_27_04_16_52,881,24.6,8,-20,0.14,15.45,0.27,4.23,0.74948,2
2020_27_04_16_58,717,24.7,8,-12,0.14,15.45,0.25,3.85,0.74802,2
2020_27_04_17_03,455,24.6,8,6,0.14,15.25,0.23,3.51,0.75142,2
2020_27_04_17_09,370,24.5,8,14,0.14,15.25,0.23,3.46,0.74672,2
2020_27_04_17_15,306,24.4,8,23,0.14,15.66,0.21,3.32,0.76048,2
2020_27_04_17_21,378,24.2,9,30,0.14,15.06,0.19,2.85,0.73022,1
2020_27_04_17_27,494,24.1,10,36,0.14,15.65,0.14,2.22,0.73164,1
2020_27_04_17_32,603,23.9,10,42,0.14,14.87,0.11,1.68,0.72452,1
2020_27_04_17_38,839,23.6,12,50,0.14,14.45,0.09,1.27,0.71535,1
2020_27_04_17_44,966,23.5,13,54,0.14,14.26,0.06,0.87,0.71065,1
2020_27_04_17_50,943,23.4,14,56,0.14,13.86,0.04,0.58,0.69218,0
2020_27_04_17_55,868,23.2,15,59,0.14,12.86,0.03,0.37,0.66965,0
2020_27_04_18_01,770,23.1,16,61,0.14,12.26,0.02,0.20,0.62711,0
2020_28_03_05_59,0,14.4,166,-52,0.15,12.06,0.01,0.07,0.67475,0
2020_28_03_06_05,0,14.3,163,-57,0.14,13.06,0.01,0.17,0.69227,0
2020_28_03_06_11,0,14.3,162,-59,0.14,14.26,0.03,0.39,0.72000,1
2020_28_03_06_16,0,14.2,161,-61,0.14,14.06,0.05,0.63,0.74219,1
2020_28_03_06_22,0,14.2,160,-63,0.14,14.87,0.06,0.91,0.75889,2
2020_28_03_06_28,0,14.2,158,-66,0.14,15.26,0.08,1.18,0.76148,2
2020_28_03_06_34,0,14.1,157,-68,0.14,15.66,0.09,1.44,0.76144,2
2020_28_03_06_39,0,14.1,156,-69,0.14,15.67,0.11,1.76,0.77440,3
2020_28_03_06_45,0,14.1,155,-70,0.14,15.86,0.13,2.08,0.77579,3
2020_28_03_06_51,0,14.1,153,-71,0.14,15.86,0.15,2.38,0.77413,3
2020_28_03_06_57,0,14,152,-72,0.14,16.06,0.17,2.68,0.77702,3
2020_28_03_07_03,0,14,150,-73,0.14,16.06,0.19,2.97,0.77615,3
2020_28_03_07_08,0,13.9,149,-74,0.14,16.47,0.20,3.36,0.78309,3
2020_28_03_07_14,0,13.9,147,-75,0.14,16.26,0.23,3.80,0.78150,3
2020_28_03_07_20,0,13.8,146,-75,0.14,16.26,0.26,4.23,0.78147,3
2020_28_03_07_26,0,13.8,145,-76,0.14,16.26,0.28,4.49,0.77848,3
2020_28_03_07_31,0,13.7,144,-76,0.14,15.86,0.28,4.49,0.78467,3
2020_28_03_07_37,0,13.7,143,-77,0.14,16.26,0.31,4.96,0.78656,3
2020_28_03_07_43,0,13.6,140,-78,0.14,16.47,0.32,5.24,0.77931,3
2020_28_03_07_49,0,13.5,139,-78,0.14,16.47,0.34,5.62,0.78438,3
2020_28_03_07_54,0,13.5,138,-79,0.14,16.47,0.35,5.83,0.77986,3
2020_28_03_08_00,0,13.5,137,-79,0.14,16.26,0.39,6.28,0.77883,3
2020_28_03_08_06,0,13.4,135,-80,0.14,16.47,0.40,6.60,0.78261,3
2020_28_03_08_12,0,13.4,134,-80,0.14,16.47,0.42,6.95,0.78108,3
2020_28_03_08_17,0,13.3,133,-80,0.14,16.47,0.44,7.25,0.77799,3
2020_28_03_08_23,0,13.2,130,-81,0.14,16.47,0.45,7.44,0.77514,3
2020_28_03_08_29,0,13.2,129,-81,0.14,16.47,0.47,7.76,0.77678,3
2020_28_03_08_35,0,13.2,128,-81,0.14,16.47,0.50,8.17,0.77601,3
2020_28_03_08_40,0,13.1,127,-82,0.14,16.47,0.52,8.53,0.77769,3
2020_28_03_08_46,0,13.1,126,-82,0.14,16.47,0.54,8.93,0.77937,3
2020_28_03_08_52,0,13,124,-82,0.14,16.47,0.57,9.45,0.77817,3
2020_28_03_08_58,0,13,123,-83,0.14,16.26,0.61,9.95,0.77833,3
2020_28_03_09_03,0,12.9,121,-83,0.14,16.66,0.67,11.11,0.80283,3
2020_28_03_09_09,0,12.9,119,-83,0.14,16.65,0.72,11.94,0.80030,3
2020_28_03_09_15,0,12.9,118,-83,0.14,16.86,0.74,12.43,0.82275,3
2020_28_03_09_21,0,12.9,117,-84,0.14,17.67,0.80,14.17,0.79309,3
2020_28_03_09_26,0,12.9,116,-84,0.14,18.07,1.08,19.59,0.76974,3
2020_28_03_09_32,0,12.8,114,-84,0.14,18.07,1.41,25.39,0.42323,0
2020_28_03_09_38,0,12.8,112,-84,0.14,15.26,3.15,48.10,0.72058,1
2020_28_03_09_44,0,12.8,111,-85,0.14,14.87,3.27,48.60,0.69835,0
2020_28_03_09_50,0,12.8,109,-85,0.14,14.67,3.31,48.54,0.69177,0
2020_28_03_09_55,0,12.7,108,-85,0.14,14.46,3.45,49.92,0.69080,0
2020_28_03_10_01,0,12.7,107,-85,0.14,14.27,3.57,50.94,0.67775,0
2020_28_03_10_07,0,12.7,106,-85,0.14,14.46,3.53,51.10,0.67782,0
2020_28_03_10_13,0,12.7,103,-86,0.14,14.27,3.63,51.83,0.67415,0
2020_28_03_10_18,0,12.7,102,-86,0.14,14.46,3.67,53.02,0.66494,0
2020_28_03_10_24,0,12.6,101,-86,0.14,14.06,3.80,53.46,0.66394,0
